dust_ccc, dust aerosol coarse mode                                          , ug/m3, R                    , <aer_c>   , 2.65e3    , 0.0      , dust                , dust aerosol ccc_mode

#
# pollen particles
#
pol_b   , birch pollen                                                      , grns/m3, R                  ,           , 0.80e3    ,          , pollen              , aerosol pollen pollen_mode
pol_g   , grass pollen                                                      , grns/m3, R                  ,           , 0.80e3    ,          , pollen              , aerosol pollen pollen_mode
pol_o   , olive pollen                                                      , grns/m3, R                  ,           , 0.80e3    ,          , pollen              , aerosol pollen pollen_mode
#pol_r   , ragweed pollen                                                    , grns/m3, R

#
# M7 tracers
#
h2so4   , sulphuric acid                                                    , mlc/cm3, H 2 + S + O 4      ,           ,           ,          , m7                  , m7
#
# sulphate aersols
so4ns   , sulphate aerosol nucle. mode soluble                              , mlc/cm3, S + O 4            ,           ,  1.77e3   ,  1.0     , m7                  , m7 aerosol nucl_mode   soluble
so4ks   , sulphate aerosol aitken mode soluble                              , mlc/cm3, S + O 4            ,           ,  1.77e3   ,  1.0     , m7                  , m7 aerosol aitken_mode soluble
so4as   , sulphate aerosol accum. mode soluble                              , mlc/cm3, S + O 4            ,           ,  1.77e3   ,  1.0     , m7                  , m7 aerosol accum_mode  soluble
so4cs   , sulphate aerosol coarse mode soluble                              , mlc/cm3, S + O 4            ,           ,  1.77e3   ,  1.0     , m7                  , m7 aerosol coarse_mode soluble
#
# black carbon aersols (similar to ec?)
bcks    , black carbon aerosol aitken mode soluble                          , ug/m3 , C                   ,           ,  1.0e3    ,   0.5    , m7                  , m7 aerosol aitken_mode soluble
bcas    , black carbon aerosol accum. mode soluble                          , ug/m3 , C                   ,           ,  1.0e3    ,   0.5    , m7                  , m7 aerosol accum_mode  soluble
bccs    , black carbon aerosol coarse mode soluble                          , ug/m3 , C                   ,           ,  1.0e3    ,   0.5    , m7                  , m7 aerosol coarse_mode soluble
bcki    , black carbon aerosol aitken mode insoluble                        , ug/m3 , C                   ,           ,  1.0e3    ,   0.0    , m7                  , m7 aerosol aitken_mode insoluble
#
# organic carbon aersols (similar to pom?)
ocks    , organic carbon aerosol aitken mode soluble                        , ug/m3 , C                   ,           ,   1.9e3   ,    0.5   , m7                  , m7 aerosol aitken_mode soluble
ocas    , organic carbon aerosol accum. mode soluble                        , ug/m3 , C                   ,           ,   1.9e3   ,    0.5   , m7                  , m7 aerosol accum_mode  soluble
occs    , organic carbon aerosol coarse mode soluble                        , ug/m3 , C                   ,           ,   1.9e3   ,    0.5   , m7                  , m7 aerosol coarse_mode soluble
ocki    , organic carbon aerosol aitken mode insoluble                      , ug/m3 , C                   ,           ,   1.9e3   ,    0.0   , m7                  , m7 aerosol aitken_mode insoluble
#
# seasalt aersols, mass is probably seasalt and not just Na
ssas    , sea salt aerosol accum. mode soluble                              , ug/m3 , R                   ,           ,  2.165e3  ,  1.0     , m7                  , m7 seasalt aerosol accum_mode  soluble
sscs    , sea salt aerosol coarse mode soluble                              , ug/m3 , R                   ,           ,  2.165e3  ,  1.0     , m7                  , m7 seasalt aerosol coarse_mode soluble
                                                                                                              
#
# dust aerosols
duas    , dust aerosol accum. mode soluble                                  , ug/m3 , R                   ,           ,  2.65e3   ,    0.5   , m7                  , m7 dust aerosol accum_mode  soluble
ducs    , dust aerosol coarse mode soluble                                  , ug/m3 , R                   ,           ,  2.65e3   ,    0.5   , m7                  , m7 dust aerosol coarse_mode soluble
duai    , dust aerosol accum. mode insoluble                                , ug/m3 , R                   ,           ,  2.65e3   ,    0.0   , m7                  , m7 dust aerosol accum_mode  insoluble
duci    , dust aerosol coarse mode insoluble                                , ug/m3 , R                   ,           ,  2.65e3   ,    0.0   , m7                  , m7 dust aerosol coarse_mode insoluble
#
# number concentrations
nnus    , number concentration nucle. mode soluble                          , 1/cm3 , R                   ,           ,           ,          , m7                  , m7 aerosol numberconc nucl_mode   soluble
nais    , number concentration aitken mode soluble                          , 1/cm3 , R                   ,           ,           ,          , m7                  , m7 aerosol numberconc aitken_mode soluble
nacs    , number concentration accum. mode soluble                          , 1/cm3 , R                   ,           ,           ,          , m7                  , m7 aerosol numberconc accum_mode  soluble
ncos    , number concentration coarse mode soluble                          , 1/cm3 , R                   ,           ,           ,          , m7                  , m7 aerosol numberconc coarse_mode soluble
naii    , number concentration aitken mode insoluble                        , 1/cm3 , R                   ,           ,           ,          , m7                  , m7 aerosol numberconc aitken_mode insoluble
naci    , number concentration accum. mode insoluble                        , 1/cm3 , R                   ,           ,           ,          , m7                  , m7 aerosol numberconc accum_mode  insoluble
ncoi    , number concentration coarse mode insoluble                        , 1/cm3 , R                   ,           ,           ,          , m7                  , m7 aerosol numberconc coarse_mode insoluble
      
      
#
# base cat ions
#
Ca_f    , calcium aerosol fine mode                                         , ug/m3, Ca                   ,           ,           ,          , basecation          , basecation aerosol fine_modes
Ca_c    , calcium aerosol coarse mode                                       , ug/m3, Ca                   ,           ,           ,          , basecation          , basecation aerosol coarse_mode
K_f     , potasium aerosol fine mode                                        , ug/m3, K                    ,           ,           ,          , basecation          , basecation aerosol fine_modes
K_c     , potasium aerosol coarse mode                                      , ug/m3, K                    ,           ,           ,          , basecation          , basecation aerosol coarse_mode
Mg_f    , magnesium aerosol fine mode                                       , ug/m3, Mg                   ,           ,           ,          , basecation          , basecation aerosol fine_modes
Mg_c    , magnesium aerosol coarse mode                                     , ug/m3, Mg                   ,           ,           ,          , basecation          , basecation aerosol coarse_mode

#
# VBS
#

# condensable gasses ;
# the molecule formula is translated to molecule mass of 150 g/mole
vbs_pog1  , primary org. gas 1                                              , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_pog
vbs_pog2  , primary org. gas 2                                              , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_pog
vbs_pog3  , primary org. gas 3                                              , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_pog
vbs_pog4  , primary org. gas 4                                              , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_pog
vbs_pog5  , primary org. gas 5                                              , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_pog
vbs_pog6  , primary org. gas 6                                              , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_pog
vbs_pog7  , primary org. gas 7                                              , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_pog
vbs_pog8  , primary org. gas 8                                              , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_pog
